year,week,teamID,opp_teamID
2012,13,4,6
2012,13,1,7
2012,13,2,8
2013,1,8,7
2013,1,7,8
2013,1,1,2
2013,1,2,1
2013,1,3,4
2013,1,4,3
2013,1,5,6
2013,1,6,5
2013,2,7,5
2013,2,5,7
2013,2,3,1
2013,2,1,3
2013,2,2,4
2013,2,4,2
2013,2,8,6
2013,2,6,8
2013,3,7,6
2013,3,6,7
2013,3,1,4
2013,3,4,1
2013,3,5,8
2013,3,8,5
2013,3,3,2
2013,3,2,3
2013,4,3,7
2013,4,7,3
2013,4,5,1
2013,4,1,5
2013,4,2,6
2013,4,6,2
2013,4,4,8
2013,4,8,4
2013,5,7,4
2013,5,4,7
2013,5,1,8
2013,5,8,1
2013,5,3,6
2013,5,6,3
2013,5,2,5
2013,5,5,2
2013,6,7,1
2013,6,1,7
2013,6,6,4
2013,6,4,6
2013,6,5,3
2013,6,3,5
2013,6,8,2
2013,6,2,8
2013,7,2,7
2013,7,7,2
2013,7,1,6
2013,7,6,1
2013,7,3,8
2013,7,8,3
2013,7,4,5
2013,7,5,4
2013,8,8,7
2013,8,7,8
2013,8,2,1
2013,8,1,2
2013,8,4,3
2013,8,3,4
2013,8,6,5
2013,8,5,6
2013,9,5,7
2013,9,7,5
2013,9,1,3
2013,9,3,1
2013,9,4,2
2013,9,2,4
2013,9,8,6
2013,9,6,8
2013,10,7,6
2013,10,6,7
2013,10,4,1
2013,10,1,4
2013,10,3,2
2013,10,2,3
2013,10,8,5
2013,10,5,8
2013,11,7,3
2013,11,3,7
2013,11,5,1
2013,11,1,5
2013,11,6,2
2013,11,2,6
2013,11,8,4
2013,11,4,8
2013,12,4,7
2013,12,7,4
2013,12,2,5
2013,12,5,2
2013,12,3,6
2013,12,6,3
2013,12,1,8
2013,12,8,1
2013,13,7,1
2013,13,1,7
2013,13,5,3
2013,13,3,5
2013,13,6,4
2013,13,4,6
2013,13,8,2
2013,13,2,8
2014,1,4,7
2014,1,7,4
2014,1,1,2
2014,1,2,1
2014,1,3,8
2014,1,8,3
2014,1,5,6
2014,1,6,5
2014,2,7,6
2014,2,6,7
2014,2,3,1
2014,2,1,3
2014,2,2,4
2014,2,4,2
2014,2,8,5
2014,2,5,8
2014,3,7,8
2014,3,8,7
