"y","w","t","pts"
2013,1,7,127
2013,1,8,114
2013,2,1,99.5
2013,2,2,134.5
2013,2,3,103.5
2013,2,4,125
2013,2,5,76.5
2013,2,6,76
2013,2,7,125
2013,2,8,143
2013,3,1,80
2013,3,2,123.5
2013,3,3,96
2013,3,4,105.5
2013,3,5,58.5
2013,3,6,78.5
2013,3,7,108.5
2013,3,8,112.5
2013,4,1,115.5
2013,4,2,133.5
2013,4,3,146.5
2013,4,4,125.5
2013,4,5,75
2013,4,6,129
2013,4,7,99.5
2013,4,8,74.5
2013,5,1,125.5
2013,5,2,79.5
2013,5,3,129.5
2013,5,4,106.5
2013,5,5,106.5
2013,5,6,87
2013,5,7,135
2013,5,8,95.5
2013,6,1,84
2013,6,2,99
2013,6,3,83.5
2013,6,4,89
2013,6,5,102
2013,6,6,89.5
2013,6,7,99.5
2013,6,8,122.5
2013,7,1,88
2013,7,2,75
2013,7,3,131.5
2013,7,4,69.5
2013,7,5,148
2013,7,6,79
2013,7,7,120.5
2013,7,8,70
2013,8,1,122.5
2013,8,2,91.5
2013,8,3,101
2013,8,4,94
2013,8,5,105.5
2013,8,6,94
2013,8,7,144
2013,8,8,113
2013,9,1,101.5
2013,9,2,114
2013,9,3,103
2013,9,4,180.5
2013,9,5,71.5
2013,9,6,59
2013,9,7,104.5
2013,9,8,130
2013,10,1,95.5
2013,10,2,152.5
2013,10,3,78
2013,10,4,99
2013,10,5,100.5
2013,10,6,77
2013,10,7,106.5
2013,10,8,120.5
2013,11,1,107.5
2013,11,2,121.5
2013,11,3,119
2013,11,4,74
2013,11,5,100.5
2013,11,6,76.5
2013,11,7,100
2013,11,8,118
2013,12,1,73.5
2013,12,2,100
2013,12,3,102.5
2013,12,4,75.5
2013,12,5,90
2013,12,6,59.5
2013,12,7,104.5
2013,12,8,125.5
2013,13,1,108.5
2013,13,2,61
2013,13,3,174.5
2013,13,4,103.5
2013,13,5,82.5
2013,13,6,100
2013,13,7,153.5
2013,13,8,124
2014,1,1,100
2014,1,2,79
2014,1,3,86.5
2014,1,4,77.5
2014,1,5,85.5
2014,1,6,122
2014,1,7,113
2014,1,8,101
2014,2,1,96.5
2014,2,2,147
2014,2,3,85
2014,2,4,109.5
2014,2,5,82.5
2014,2,6,82.5
2014,2,7,72.5
2014,2,8,116
2014,3,1,120
2014,3,2,58
2014,3,3,84
2014,3,4,107.5
2014,3,5,100
2014,3,6,86.5
2014,3,7,60
2014,3,8,81.5
2014,4,1,96
2014,4,2,101
2014,4,3,110.5
2014,4,4,135.5
2014,4,5,100.5
2014,4,6,91.5
2014,4,7,107.5
2014,4,8,109.5
2014,5,1,75
2014,5,2,135.5
2014,5,3,76.5
2014,5,4,84
2014,5,5,108
2014,5,6,118
2014,5,7,79
2014,5,8,110
2014,6,1,95.5
2014,6,2,108
2014,6,3,108
2014,6,4,93.5
2014,6,5,50.5
2014,6,6,118
2014,6,7,66
2014,6,8,152.5
2014,7,1,80.5
2014,7,2,122
2014,7,3,85
2014,7,4,111
2014,7,5,70
2014,7,6,100
2014,7,7,76
2014,7,8,101.5
2014,8,1,89.5
2014,8,2,150
2014,8,3,133.5
2014,8,4,157.5
2014,8,5,107.5
2014,8,6,103
2014,8,7,62
2014,8,8,159
2014,9,1,69
2014,9,2,133
2014,9,3,144
2014,9,4,110
2014,9,5,136.5
2014,9,6,44
2014,9,7,101
2014,9,8,92
2014,10,1,80
2014,10,2,112.5
2014,10,3,130
2014,10,4,116.5
2014,10,5,134
2014,10,6,112.5
2014,10,7,93
2014,10,8,119.5
2014,11,1,42.5
2014,11,2,119
2014,11,3,89
2014,11,4,137.5
2014,11,5,91.5
2014,11,6,54.5
2014,11,7,83.5
2014,11,8,137
2014,12,1,123.5
2014,12,2,124
2014,12,3,118.5
2014,12,4,78
2014,12,5,101.5
2014,12,6,90.5
2014,12,7,73
2014,12,8,118
2014,13,1,114
2014,13,2,105.5
2014,13,3,122
2014,13,4,111
2014,13,5,92.5
2014,13,6,106.5
2014,13,7,119.5
2014,13,8,122
2015,1,1,97
2015,1,2,74.5
2015,1,3,84
2015,1,4,148
2015,1,5,100
2015,1,6,86
2015,1,7,118
2015,1,8,105.5
2015,2,1,95
2015,2,2,79.5
2015,2,3,56
2015,2,4,75.5
2015,2,5,149.5
2015,2,6,55.5
2015,2,7,154.5
2015,2,8,79.5
2015,3,1,152.5
2015,3,2,64.5
2015,3,3,84
2015,3,4,112
2015,3,5,162.5
2015,3,6,133.5
2015,3,7,110
2015,3,8,138.5
2015,4,1,68
2015,4,2,100.5
2015,4,3,63
2015,4,4,136.5
2015,4,5,66.5
2015,4,6,84.5
2015,4,7,91.5
2015,4,8,72
2015,5,1,75
