"k","revert","playoff_revert","score"
15,0.6,0.1,119.905751884571
15,0.6,0.2,119.650894856921
15,0.6,0.3,119.432171268287
15,0.6,0.4,119.251541557692
15,0.6,0.5,119.110764116246
15,0.6,0.6,119.011337480707
15,0.6,0.7,118.954449648436
15,0.6,0.8,118.940938307774
15,0.6,0.9,118.971264897146
15,0.7,0.1,119.911831306273
15,0.7,0.2,119.682275681973
15,0.7,0.3,119.484285081331
15,0.7,0.4,119.320028782168
15,0.7,0.5,119.191473889486
15,0.7,0.6,119.100324292841
15,0.7,0.7,119.047965954795
15,0.7,0.8,119.035422497085
15,0.7,0.9,119.063324365998
15,0.8,0.1,119.983672521807
15,0.8,0.2,119.769601414638
15,0.8,0.3,119.583792308019
15,0.8,0.4,119.428559756082
15,0.8,0.5,119.306021464717
15,0.8,0.6,119.218034812939
15,0.8,0.7,119.166138830268
15,0.8,0.8,119.151505689039
15,0.8,0.9,119.174905266225
15,0.9,0.1,120.120075130369
15,0.9,0.2,119.911984683866
15,0.9,0.3,119.730058638518
15,0.9,0.4,119.576704355565
15,0.9,0.5,119.454140590056
15,0.9,0.6,119.364332807555
15,0.9,0.7,119.308932996277
15,0.9,0.8,119.289228044803
15,0.9,0.9,119.306100421005
17.5,0.1,0.1,121.564788293273
17.5,0.1,0.2,120.988207024439
17.5,0.1,0.3,120.491606265901
17.5,0.1,0.4,120.075542518549
17.5,0.1,0.5,119.740610834017
17.5,0.1,0.6,119.487292458856
17.5,0.1,0.7,119.315840112169
17.5,0.1,0.8,119.226199150202
17.5,0.1,0.9,119.217961484508
17.5,0.2,0.1,121.191176841035
17.5,0.2,0.2,120.693209727979
17.5,0.2,0.3,120.263516953435
17.5,0.2,0.4,119.903517913287
17.5,0.2,0.5,119.614510854726
17.5,0.2,0.6,119.39756004403
17.5,0.2,0.7,119.25340584175
17.5,0.2,0.8,119.182400866777
17.5,0.2,0.9,119.184473398811
17.5,0.3,0.1,120.892024631588
17.5,0.3,0.2,120.460626658623
17.5,0.3,0.3,120.08776190635
17.5,0.3,0.4,119.775421258008
17.5,0.3,0.5,119.525394095894
17.5,0.3,0.6,119.339172474729
17.5,0.3,0.7,119.217870818583
17.5,0.3,0.8,119.162166579199
17.5,0.3,0.9,119.17226534081
17.5,0.4,0.1,120.665091985923
17.5,0.4,0.2,120.289207199383
17.5,0.4,0.3,119.963742237139
17.5,0.4,0.4,119.691076055593
17.5,0.4,0.5,119.473351646997
17.5,0.4,0.6,119.312385273932
17.5,0.4,0.7,119.209587378912
17.5,0.4,0.8,119.165901714845
17.5,0.4,0.9,119.181767576954
17.5,0.5,0.1,120.508800059707
17.5,0.5,0.2,120.178069617817
17.5,0.5,0.3,119.891045849829
17.5,0.5,0.4,119.650382939123
17.5,0.5,0.5,119.458489345095
17.5,0.5,0.6,119.317436264103
17.5,0.5,0.7,119.228875612991
17.5,0.5,0.8,119.193974673468
17.5,0.5,0.9,119.213373176898
17.5,0.6,0.1,120.422060195479
17.5,0.6,0.2,120.126598244093
17.5,0.6,0.3,119.869385989658
17.5,0.6,0.4,119.653283283741
17.5,0.6,0.5,119.480906130804
17.5,0.6,0.6,119.354532172144
17.5,0.6,0.7,119.276014319816
17.5,0.6,0.8,119.246709998517
17.5,0.6,0.9,119.267432375985
17.5,0.7,0.1,120.404122323575
17.5,0.7,0.2,120.134349913429
17.5,0.7,0.3,119.898544638388
17.5,0.7,0.4,119.69972553315
17.5,0.7,0.5,119.5406740055
17.5,0.7,0.6,119.423836232721
17.5,0.7,0.7,119.351232637832
17.5,0.7,0.8,119.32438205012
17.5,0.7,0.9,119.344247334936
17.5,0.8,0.1,120.454435287876
17.5,0.8,0.2,120.20096734282
17.5,0.8,0.3,119.978320169382
17.5,0.8,0.4,119.789634209491
17.5,0.8,0.5,119.637819710506
17.5,0.8,0.6,119.525456944055
17.5,0.8,0.7,119.454702505144
17.5,0.8,0.8,119.427209321566
17.5,0.8,0.9,119.444067423987
17.5,0.9,0.1,120.572517001972
17.5,0.9,0.2,120.32609900472
17.5,0.9,0.3,120.108479276511
17.5,0.9,0.4,119.922881711699
17.5,0.9,0.5,119.772308248586
17.5,0.9,0.6,119.659438102032
17.5,0.9,0.7,119.586532075821
17.5,0.9,0.8,119.555349520286
17.5,0.9,0.9,119.567085143003
20,0.1,0.1,122.283087126967
20,0.1,0.2,121.689942830324
20,0.1,0.3,121.172391253455
20,0.1,0.4,120.732940681726
20,0.1,0.5,120.373893185165
20,0.1,0.6,120.097175481977
20,0.1,0.7,119.904210195358
20,0.1,0.8,119.795828995881
20,0.1,0.9,119.772227759085
20,0.2,0.1,121.894579413777
20,0.2,0.2,121.37322877311
20,0.2,0.3,120.917771855039
20,0.2,0.4,120.531151493947
20,0.2,0.5,120.216042626515
20,0.2,0.6,119.974707375219
20,0.2,0.7,119.808875779161
20,0.2,0.8,119.719659337439
20,0.2,0.9,119.707502406835
20,0.3,0.1,121.576489649732
20,0.3,0.2,121.11686766076
20,0.3,0.3,120.71485255628
20,0.3,0.4,120.37368021632
20,0.3,0.5,120.096295898467
20,0.3,0.6,119.885219196845
20,0.3,0.7,119.742426478323
20,0.3,0.8,119.669260786059
20,0.3,0.9,119.666377104406
20,0.4,0.1,121.327938824732
20,0.4,0.2,120.920565267337
20,0.4,0.3,120.563727552201
20,0.4,0.4,120.260871875643
20,0.4,0.5,120.015152310151
20,0.4,0.6,119.829297866172
20,0.4,0.7,119.705492316666
20,0.4,0.8,119.6452782333
20,0.4,0.9,119.649494887852
20,0.5,0.1,121.148552388525
20,0.5,0.2,120.784318332401
20,0.5,0.3,120.464640742926
20,0.5,0.4,120.193130792963
20,0.5,0.5,119.973115901449
20,0.5,0.6,119.807505007526
20,0.5,0.7,119.698663773907
20,0.5,0.8,119.648311938599
20,0.5,0.9,119.657453593772
20,0.6,0.1,121.038315063364
20,0.6,0.2,120.708316598205
20,0.6,0.3,120.417919848714
20,0.6,0.4,120.17087655481
20,0.6,0.5,119.970665894849
20,0.6,0.6,119.820356543234
20,0.6,0.7,119.722476855541
20,0.6,0.8,119.678905778301
20,0.6,0.9,119.690795982657
20,0.7,0.1,120.997431966177
20,0.7,0.2,120.692848188212
20,0.7,0.3,120.423912906221
20,0.7,0.4,120.194501875955
20,0.7,0.5,120.008228625484
20,0.7,0.6,119.868303410935
20,0.7,0.7,119.777399023528
20,0.7,0.8,119.737536177218
20,0.7,0.9,119.750000427427
20,0.8,0.1,121.026192241436
20,0.8,0.2,120.738207751153
20,0.8,0.3,120.482927545072
20,0.8,0.4,120.264332915505
20,0.8,0.5,120.086151457333
20,0.8,0.6,119.951713835573
20,0.8,0.7,119.863816355674
20,0.8,0.8,119.824602042488
20,0.8,0.9,119.835472449676
20,0.9,0.1,121.124835536337
20,0.9,0.2,120.844608330762
20,0.9,0.3,120.595173884033
20,0.9,0.4,120.380592660102
20,0.9,0.5,120.204679141822
20,0.9,0.6,120.070857523993
20,0.9,0.7,119.982022250251
20,0.9,0.8,119.940415980058
20,0.9,0.9,119.947537355205
22.5,0.1,0.1,123.070596079093
22.5,0.1,0.2,122.466281120139
22.5,0.1,0.3,121.93349540097
22.5,0.1,0.4,121.476335904291
22.5,0.1,0.5,121.098527840938
22.5,0.1,0.6,120.803223403761
22.5,0.1,0.7,120.592843591845
22.5,0.1,0.8,120.468969444192
22.5,0.1,0.9,120.43228784739
22.5,0.2,0.1,122.669018435632
22.5,0.2,0.2,122.130158028972
22.5,0.2,0.3,121.654714075584
22.5,0.2,0.4,121.246934727612
22.5,0.2,0.5,120.910701056511
22.5,0.2,0.6,120.649340135794
22.5,0.2,0.7,120.46546547142
22.5,0.2,0.8,120.360857707258
22.5,0.2,0.9,120.336396475851
22.5,0.3,0.1,122.3341203746
22.5,0.3,0.2,121.852218355319
22.5,0.3,0.3,121.42664928737
22.5,0.3,0.4,121.061767275897
22.5,0.3,0.5,120.761576398232
22.5,0.3,0.6,120.529548822684
22.5,0.3,0.7,120.368461073785
22.5,0.3,0.8,120.280264770009
22.5,0.3,0.9,120.266006108247
22.5,0.4,0.1,122.066035237828
22.5,0.4,0.2,121.632930108462
22.5,0.4,0.3,121.249992437595
22.5,0.4,0.4,120.921665216413
22.5,0.4,0.5,120.652063043583
22.5,0.4,0.6,120.444790232735
22.5,0.4,0.7,120.302771475342
22.5,0.4,0.8,120.228113168749
22.5,0.4,0.9,120.222011811477
22.5,0.5,0.1,121.865342707981
22.5,0.5,0.2,121.473033386927
22.5,0.5,0.3,121.125583112461
22.5,0.5,0.4,120.827523286566
22.5,0.5,0.5,120.58307821473
22.5,0.5,0.6,120.395980636196
22.5,0.5,0.7,120.26929632736
22.5,0.5,0.8,120.205276821547
22.5,0.5,0.9,120.20525800745
22.5,0.6,0.1,121.732929209094
22.5,0.6,0.2,121.373436478015
22.5,0.6,0.3,121.054332553818
22.5,0.6,0.4,120.780243646558
22.5,0.6,0.5,120.555506807343
22.5,0.6,0.6,120.383981978193
22.5,0.6,0.7,120.268870903409
22.5,0.6,0.8,120.212562385596
22.5,0.6,0.9,120.2165225083
22.5,0.7,0.1,121.669845830348
22.5,0.7,0.2,121.335110850429
22.5,0.7,0.3,121.037147433607
22.5,0.7,0.4,120.780681269695
22.5,0.7,0.5,120.570162226114
22.5,0.7,0.6,120.409573154212
22.5,0.7,0.7,120.302244081509
22.5,0.7,0.8,120.250691407152
22.5,0.7,0.9,120.256501246899
22.5,0.8,0.1,121.677162771052
22.5,0.8,0.2,121.358986186363
22.5,0.8,0.3,121.074855462173
22.5,0.8,0.4,120.829591719159
22.5,0.8,0.5,120.627749514076
22.5,0.8,0.6,120.473423268695
22.5,0.8,0.7,120.370057997172
22.5,0.8,0.8,120.320283898485
22.5,0.8,0.9,120.325794263954
22.5,0.9,0.1,121.755822598432
22.5,0.9,0.2,121.445847781473
22.5,0.9,0.3,121.168134637576
22.5,0.9,0.4,120.927582624999
22.5,0.9,0.5,120.728831756784
22.5,0.9,0.6,120.576067656703
22.5,0.9,0.7,120.472830022664
22.5,0.9,0.8,120.421843912059
22.5,0.9,0.9,120.424893459828
25,0.1,0.1,123.916494299911
25,0.1,0.2,123.304490316851
25,0.1,0.3,122.760291312738
25,0.1,0.4,122.289338125011
25,0.1,0.5,121.896584799109
25,0.1,0.6,121.586254232264
25,0.1,0.7,121.361638308725
25,0.1,0.8,121.224955887978
25,0.1,0.9,121.177281204048
25,0.2,0.1,123.502783538058
25,0.2,0.2,122.950456982181
25,0.2,0.3,122.45909317096
25,0.2,0.4,122.034091338666
25,0.2,0.5,121.68041675081
25,0.2,0.6,121.402363623384
25,0.2,0.7,121.203345517686
25,0.2,0.8,121.085734029195
25,0.2,0.9,121.050764851657
25,0.3,0.1,123.152253029723
25,0.3,0.2,122.652374415133
25,0.3,0.3,122.207373731398
25,0.3,0.4,121.822627354773
25,0.3,0.5,121.503124328336
25,0.3,0.6,121.253230640355
25,0.3,0.7,121.076470692095
25,0.3,0.8,120.975350696662
25,0.3,0.9,120.951247046941
25,0.4,0.1,122.865835905686
25,0.4,0.2,122.411354725514
25,0.4,0.3,122.006364740245
25,0.4,0.4,121.65624669288
25,0.4,0.5,121.366033219377
25,0.4,0.6,121.140171399532
25,0.4,0.7,120.982296048714
25,0.4,0.8,120.895040568125
25,0.4,0.9,120.879910890507
25,0.5,0.1,122.644913190684
25,0.5,0.2,122.228800386006
25,0.5,0.3,121.857468411633
25,0.5,0.4,121.536332641476
25,0.5,0.5,121.270491657164
25,0.5,0.6,121.06448653499
25,0.5,0.7,120.922066753096
25,0.5,0.8,120.845990620011
25,0.5,0.9,120.837887370435
25,0.6,0.1,122.491166423211
25,0.6,0.2,122.106286715015
25,0.6,0.3,121.762165464803
25,0.6,0.4,121.464280571453
25,0.6,0.5,121.217816416331
25,0.6,0.6,121.027419416371
25,0.6,0.7,120.896957557391
25,0.6,0.8,120.829312314071
25,0.6,0.9,120.826231125837
25,0.7,0.1,122.406421263101
25,0.7,0.2,122.045439556039
25,0.7,0.3,121.721921425509
25,0.7,0.4,121.441427188235
25,0.7,0.5,121.209239431885
25,0.7,0.6,121.030115161791
25,0.7,0.7,120.908040217571
25,0.7,0.8,120.846014515742
25,0.7,0.9,120.845896914636
25,0.8,0.1,122.392484065085
25,0.8,0.2,122.047811279221
25,0.8,0.3,121.738094133633
25,0.8,0.4,121.468982136886
25,0.8,0.5,121.245856969413
25,0.8,0.6,121.073582016253
25,0.8,0.7,120.956253011618
25,0.8,0.8,120.896978290272
25,0.8,0.9,120.897717806392
25,0.9,0.1,122.450975733673
25,0.9,0.2,122.114759011973
25,0.9,0.3,121.811845505151
25,0.9,0.4,121.547964258969
25,0.9,0.5,121.328583122842
25,0.9,0.6,121.15865653277
25,0.9,0.7,121.042373571422
25,0.9,0.8,120.98293463171
25,0.9,0.9,120.982386040318
